subject,trial,condition,order_byint,order,atc_scenario,ms_cutoff,restime,reserror
31,10,None,5,13,NA,12166.40326,1796.959249,0
32,3,ATCint,1,5,2,20277.25208,4781.762339,0
32,9,ATCint,2,9,5,16221.80166,7835.983395,0
32,15,ATCint,3,10,4,16221.80166,3108.494754,0
32,6,ATCint,4,13,1,14194.07646,8173.899735,0
32,12,ATCint,5,15,3,23318.83989,3205.197244,0
32,8,Blank,1,1,NA,21291.11468,4411.212754,0
32,14,Blank,2,2,NA,18249.52687,NA,1
32,2,Blank,3,6,NA,11152.48864,2364.219961,0
32,5,Blank,4,8,NA,17235.66427,2584.044338,0
32,11,Blank,5,12,NA,19263.38948,2575.494754,0
32,4,None,1,3,NA,11152.48864,1429.899735,0
32,10,None,2,4,NA,12166.35125,1197.609433,0
32,7,None,3,7,NA,20277.25208,1317.609433,0
32,13,None,4,11,NA,15207.93906,1454.273697,0
32,1,None,5,14,NA,23318.83989,1395.197244,0
33,10,ATCint,1,4,4,12166.40983,4153.877038,0
33,1,ATCint,2,6,5,23318.95218,8102.479497,0
33,7,ATCint,3,7,1,20277.34972,4485.877038,0
33,13,ATCint,4,11,2,15208.01229,NA,1
33,4,ATCint,5,14,3,11152.54235,3219.299171,0
33,3,Blank,1,5,NA,20277.34972,3581.166657,0
33,15,Blank,2,9,NA,16221.87978,11487.65982,0
33,9,Blank,3,10,NA,16221.87978,3418.202174,0
33,12,Blank,4,13,NA,23318.95218,6628.479497,0
33,6,Blank,5,15,NA,14194.1448,NA,1
33,8,None,1,1,NA,21291.21721,7237.636603,0
33,5,None,2,2,NA,17235.74726,2101.189877,0
33,14,None,3,3,NA,18249.61475,1614.286875,0
33,11,None,4,8,NA,19263.48223,2458.659823,0
33,2,None,5,12,NA,11152.54235,1245.394796,0
34,4,ATCint,1,6,4,11152.45679,5995.255977,0
34,7,ATCint,2,9,3,20277.19416,3546.043875,0
34,13,ATCint,3,10,2,15207.89562,NA,1
34,10,ATCint,4,12,5,12166.3165,2091.043875,0
34,1,ATCint,5,13,1,23318.77328,2467.622997,0
34,14,Blank,1,1,NA,18249.47474,3390.360365,0
34,5,Blank,2,3,NA,17235.61504,3531.551187,0
34,11,Blank,3,8,NA,19263.33445,6556.990017,0
34,8,Blank,4,14,NA,21291.05387,1351.554515,0
34,2,Blank,5,15,NA,11152.45679,2084.709432,0
34,12,None,1,2,NA,23318.77328,1452.622997,0
34,9,None,2,4,NA,16221.75533,1200.4468,0
34,6,None,3,5,NA,14194.03591,943.2559775,0
34,15,None,4,7,NA,16221.75533,1080.990017,0
34,3,None,5,11,NA,20277.19416,979.115685,0
35,3,ATCint,1,2,2,20277.3705,3211.039899,0
35,9,ATCint,2,6,4,16221.8964,4764.035933,0
35,15,ATCint,3,7,5,16221.8964,2547.482154,0
35,12,ATCint,4,12,1,23318.97608,3505.326764,0
35,6,ATCint,5,14,3,14194.15935,4585.171374,0
35,7,Blank,1,3,NA,20277.3705,2728.721188,0
35,4,Blank,2,5,NA,11152.55378,2405.171374,0
35,13,Blank,3,9,NA,15208.02788,2556.48612,0
35,1,Blank,4,10,NA,23318.97608,1825.326764,0
35,10,Blank,5,15,NA,12166.4223,2731.721188,0
35,5,None,1,1,NA,17235.76493,1460.008052,0
35,8,None,2,4,NA,21291.23903,1573.514001,0
35,14,None,3,8,NA,18249.63345,1185.143493,0
35,11,None,4,11,NA,19263.50198,1153.482154,0
35,2,None,5,13,NA,11152.55378,1120.219205,0
36,2,ATCint,1,2,3,11152.61134,5686.334906,0
36,5,ATCint,2,5,5,17235.85389,3277.092358,0
36,8,ATCint,3,10,2,21291.34892,4112.896561,0
36,14,ATCint,4,12,4,18249.72764,5415.421402,0
36,11,ATCint,5,13,1,19263.6014,4327.58739,0
36,4,Blank,1,1,NA,11152.61134,NA,1
36,10,Blank,2,3,NA,12166.4851,4664.936307,0
36,1,Blank,3,4,NA,23319.09643,5741.557581,0
36,7,Blank,4,6,NA,20277.47516,6262.936307,0
36,13,Blank,5,7,NA,15208.10637,4479.790192,0
36,9,None,1,8,NA,16221.98013,1710.198727,0
36,12,None,2,9,NA,23319.09643,1836.557581,0
36,3,None,3,11,NA,20277.47516,1985.40153,0
36,15,None,4,14,NA,16221.98013,1555.58739,0
36,6,None,5,15,NA,14194.23261,1209.527772,0
37,11,ATCint,1,2,5,19263.45258,5961.919457,0
37,2,ATCint,2,4,3,11152.52518,2941.674785,0
